id|nome|contrato_id
d7f4b501-33a7-45b1-9a04-4090d96b4686|CORE/HANGAR|3918b9ef-ea35-415a-b9f1-9790c863da7f
c72fe773-c443-4133-a857-237c9b4ce2b0|CORPO DE BOMBEIROS|27e23133-db59-4386-a015-33a7310768fb
299e3fae-1f6f-4a13-8357-5103a4365b28|CRAS|27e23133-db59-4386-a015-33a7310768fb
61018570-38c2-4a47-836c-60f38bf6ae81|CRAS|a3cb200e-f854-4fe8-9244-40f42d7c3b28
01881c34-ec80-4a60-a41f-2750ce8ad9bc|CRAS|773af58b-44f1-4cf7-bac7-901cc3b1694c
63e33d26-4567-49bb-8184-ccbb727fe12e|CREAS|27e23133-db59-4386-a015-33a7310768fb
bfee3d91-0060-4865-af50-65664a635b9f|CRTB CENTRO e CRAIP|8500ea60-a5c4-495e-8c26-f009a34e2107
b16ea094-9bbc-490f-8ac0-12be078d8c0c|CS LESTE|8500ea60-a5c4-495e-8c26-f009a34e2107
1ba679fe-50f6-43f2-bbc7-dd807d2d5d11|CS OESTE|8500ea60-a5c4-495e-8c26-f009a34e2107
f04cc544-7ac4-4972-a3c7-2fd7eac33291|DEAM ALVORADA|3918b9ef-ea35-415a-b9f1-9790c863da7f
35590ed0-958b-4206-b9bc-f45bbcb37711|DEAM CANOAS|3918b9ef-ea35-415a-b9f1-9790c863da7f
dce5660a-8510-46c3-8479-cbd4f01783a1|DEAM ESTEIO|3918b9ef-ea35-415a-b9f1-9790c863da7f
99501a54-ef3c-452c-9e53-084d39c92b5f|DEAM GRAVATAÍ|3918b9ef-ea35-415a-b9f1-9790c863da7f
e8506b11-7af3-4440-855e-aa4d76d7081c|DEAM NOVO HAMBURGO|3918b9ef-ea35-415a-b9f1-9790c863da7f
d480c8ca-aa31-4c8c-9b4f-858451769fb4|DEAM POA|3918b9ef-ea35-415a-b9f1-9790c863da7f
83e38f48-8631-410f-b145-98cda38526a7|DEAM VIAMÃO|3918b9ef-ea35-415a-b9f1-9790c863da7f
dedbbe72-7a3c-4976-bbd4-036bb555a60a|DECA|3918b9ef-ea35-415a-b9f1-9790c863da7f
077900c2-32b5-416c-a57f-b3ac384358d4|DECA 3ª DPCA|3918b9ef-ea35-415a-b9f1-9790c863da7f
4dba067d-681c-4247-9714-a909e2723ec6|DEIC/SED|3918b9ef-ea35-415a-b9f1-9790c863da7f
56dd1674-a76c-47ef-82b6-9020d36a630a|DENARC|3918b9ef-ea35-415a-b9f1-9790c863da7f
c6a556eb-47f0-468a-a256-f045e451c93a|DEPÓSITO//DMP/DAP|3918b9ef-ea35-415a-b9f1-9790c863da7f
66cdbf98-02e5-404b-9d4a-d8e836b1c509|DERCAP|3918b9ef-ea35-415a-b9f1-9790c863da7f
6f1aa765-9a68-4bab-8980-f01f568768bf|DERCC|3918b9ef-ea35-415a-b9f1-9790c863da7f
deea4f61-1dff-41f8-ba27-f22d056a23e1|DHPP ALVORADA|3918b9ef-ea35-415a-b9f1-9790c863da7f
3df4a2bc-f8cf-4146-b82c-221c7c16997b|DHPP CANOAS|3918b9ef-ea35-415a-b9f1-9790c863da7f
789d82f7-2877-4d00-81cd-6ee2ed0b411c|DHPP GRAVATAÍ|3918b9ef-ea35-415a-b9f1-9790c863da7f
042ebe11-0f98-4f34-ba79-b4e74d1ea151|DHPP NOVO HAMBURGO|3918b9ef-ea35-415a-b9f1-9790c863da7f
e32c7190-80d2-4133-b096-c02f715cfcba|DHPP SÃO LEOPOLDO|3918b9ef-ea35-415a-b9f1-9790c863da7f
5a96b414-b5f0-4f64-904f-fa5848ada203|DHPP VIAMÃO|3918b9ef-ea35-415a-b9f1-9790c863da7f
1e305755-2d8c-4a53-959b-afc0ba5c99ff|DIRETORIA GERAL DE VIGILÂNCIA EM SAÚDE|8500ea60-a5c4-495e-8c26-f009a34e2107
